"user_id","signed_up_at","signup_method","goal","signup_platform","d0_u2s","days_to_first_in_app_workout","d0_d13_tad_core"
"00e1393b-31a4-43f1-8aa7-4883921a34bf","2019-06-01 18:31:53.580399","facebook","","ios",0,,0
"018d5fab-faf7-4882-9723-f420212fcff9","2019-06-01 07:25:23.152983","mail","","ios",0,,0
"022f3d5e-4952-49d2-ab2e-3a8abb1bcfd6","2019-06-01 17:11:00.643234","facebook","","android",0,,0
"02522ca9-2485-42f2-8f58-0b9988717fde","2019-06-01 15:46:38.760092","mail","","ios",0,,0
"02be6f4f-daa6-4718-9a91-1017da9dc0d1","2019-06-01 06:17:19.098251","mail","loss","android",0,,0
"02c57f54-9abc-456b-9520-563127d05835","2019-06-01 20:58:08.638477","google","","android",0,,0
"033f3b14-2487-4620-aa40-88bad80a6683","2019-06-01 01:10:39.547664","facebook","","ios",1,,1
"03fc6b55-a7f8-46aa-a5e6-7f7f11f60698","2019-06-01 07:14:10.950706","facebook","","ios",1,,0
"05906b91-0ce1-4728-a794-2920a1017ab7","2019-06-01 08:05:00.130335","google","","ios",0,,0
"05aeb00b-5007-47de-8bdf-87ec581fffb3","2019-06-01 23:04:55.996371","mail","","ios",0,,0
"061bb836-b752-4bd9-b41f-73f6fbcdf718","2019-06-01 18:00:36.583601","mail","","ios",0,,0
"0637a656-5b52-4ef3-bfa1-7628c1b6b8b0","2019-06-01 23:47:37.295169","facebook","","ios",0,8,1
"0645efe9-0a3c-49ea-8c64-dbb3684fe3fa","2019-06-01 07:02:25.854774","facebook","","ios",0,,0
"065b6834-343d-4883-9856-1f4299ad77cb","2019-06-01 18:19:18.585664","mail","","ios",0,,0
"06c74c86-b3db-4665-9a67-5cfa35f332f2","2019-06-01 09:27:07.186607","google","","ios",0,1,1
"07244175-20d5-4f47-b493-4ee6c667bcec","2019-06-01 14:28:33.239677","facebook","","ios",0,,0
"076e3ca0-e024-4053-aacc-d9b78ba248fc","2019-06-01 06:41:03.377833","mail","loss","android",0,,0
"08400c2a-0a06-4215-aa41-4403b377ebf6","2019-06-01 22:37:24.42424","mail","","ios",0,,0
"084d42f4-93e5-4f67-93c8-f7cf5686760a","2019-06-01 23:07:38.606466","mail","","ios",0,,0
"08740c10-7776-4bbf-8941-5650ffecc01f","2019-06-01 00:39:14.914828","mail","","ios",0,,0
"08aad436-c0dd-4ad6-aae7-1148754a2a3a","2019-06-01 22:09:50.587006","google","","ios",0,,0
"09210c02-ae29-4f8d-af42-19d11016c2c6","2019-06-01 13:47:29.464726","mail","","ios",0,,0
"094f100e-c9af-4f6e-b3ed-4fecbec21e4a","2019-06-01 06:26:52.923437","google","","android",0,,0
"09e02751-858d-40a7-93ba-ab8e1f197b71","2019-06-01 17:50:32.606778","mail","","ios",0,,0
"0a04057d-fa25-4b5f-a15f-e426df8a9388","2019-06-01 16:50:27.031945","facebook","","ios",0,,0
"0ad41768-4650-4d08-8a56-322eb0a7efd1","2019-06-01 00:34:06.141928","mail","","android",0,,0
"0b1a2f85-72f8-425c-a83d-8eeb13b4f85e","2019-06-01 21:45:31.023","mail","","ios",0,,0
"0b2a3b3d-d4fa-41f3-b129-527ae79cc1c3","2019-06-01 03:57:57.800057","google","","ios",0,,0
"0c115ece-09ff-4e4b-be62-50636046d59e","2019-06-01 15:33:14.853539","facebook","","ios",0,,0
"0d3eff51-e226-40e1-856b-61f551d341c2","2019-06-01 18:53:53.620956","mail","","ios",0,2,2
"0ef3c90c-49e2-48ad-bea6-2d39284b60c8","2019-06-01 14:46:20.518161","mail","recomp","web",0,,0
"0f41742b-f3c5-4fad-a800-61f59acda9b9","2019-06-01 06:48:22.973236","mail","","ios",0,,0
"0f9c0e5d-adb9-450b-8ba4-99cffe237513","2019-06-01 09:45:32.362064","mail","loss","android",0,,0
"0fd7d9a0-95f1-4d2e-b8a5-5a2fb5cadbe6","2019-06-01 09:13:00.867496","mail","","ios",0,,0
"0feb5ff8-d200-4f3b-951d-b2082a556c98","2019-06-01 14:46:20.330117","facebook","","ios",0,,0
"10b089e7-f881-4b6a-ad6a-632d65a8d0b6","2019-06-01 02:12:35.065179","mail","","ios",1,,1
"10db9a07-ad23-4524-aa03-aa3e5503f265","2019-06-01 07:40:54.545829","google","","ios",0,,0
"10fa4cab-6910-4477-b0ed-d589d415a7bd","2019-06-01 10:51:54.364641","facebook","","android",0,,0
"110b09f7-5173-4af7-9573-2c43d43f2a13","2019-06-01 17:57:25.709593","mail","loss","web",0,,0
"1130c769-db98-41aa-9bd0-663e9832eaed","2019-06-01 08:02:53.852529","mail","loss","android",0,,0
"11dc31c1-1bc8-4bfe-9da1-b263c592571d","2019-06-01 22:04:06.546788","google","","ios",0,,0
"11fadcad-7f6a-4d00-9938-6484a8faf9f5","2019-06-01 16:49:16.821698","facebook","","ios",0,,0
"12ce4512-5e1f-4443-a750-ba20095fe1db","2019-06-01 17:41:10.036453","facebook","","android",0,,0
"133d8ac2-e9d5-4234-9c06-0c2058494d6a","2019-06-01 21:00:51.488519","mail","","ios",0,,0
"1363e7eb-ed2f-4be6-9911-63e1d37f96c5","2019-06-01 23:31:21.340888","facebook","","ios",0,,0
"13c289a1-b9ef-4950-ab42-e1db2e14f994","2019-06-01 02:07:27.603383","google","loss","android",0,,0
"13d25f35-e660-431f-bcce-be35a1e62af6","2019-06-01 11:56:41.048223","mail","","ios",0,,0
"13e6ee2e-7578-4268-8f45-0db5984575a1","2019-06-01 14:10:45.81805","mail","","ios",1,,0
"14357018-09dd-4dc7-b389-28137e1a4a61","2019-06-01 05:47:57.420136","google","","android",0,,0
"147646e6-3b18-4f7d-8989-5b7f2e22c8fd","2019-06-01 04:16:59.861846","mail","","ios",0,,0
"14cc74fd-ab2d-4aa7-87ff-8ef55335eb0f","2019-06-01 06:16:53.860103","mail","","ios",0,,0
"153d96f9-5feb-4d31-b982-4f1eb8bcfbec","2019-06-01 12:07:22.02923","facebook","","ios",0,,0
"16e0d9f1-d6f3-40fd-878b-9425a8237e65","2019-06-01 15:53:42.61542","mail","","ios",0,,0
"1723605c-6c70-47f9-8f75-69f208878291","2019-06-01 01:52:53.608058","facebook","","android",0,,0
"17bb2321-799a-4690-9896-3e42458d08cc","2019-06-01 08:19:15.019164","google","","ios",0,,0
"17db072e-789c-40c7-9a17-ec76787d1a07","2019-06-01 03:17:23.08616","google","","ios",0,,0
"17f075a8-dd73-4bf5-b546-dc5464bbd278","2019-06-01 06:02:22.752318","google","","android",0,,0
"180b0e8f-e95f-4ac6-9cfc-82e1df245793","2019-06-01 06:48:37.186378","mail","loss","android",0,,0
"19504cee-cf8e-4f8f-bf08-b12430ddfe75","2019-06-01 14:02:35.862719","mail","","ios",0,,0
"19639f6b-bda6-4966-919c-a19a4c6b40d2","2019-06-01 17:56:35.157491","mail","","ios",0,,0
"198f5e4e-31dc-42de-b8f3-040155d060c0","2019-06-01 06:23:16.97167","mail","loss","android",0,,0
"1a4ee66e-5e34-480b-ba18-b393691646c9","2019-06-01 13:42:18.873197","google","","ios",0,,0
"1a6ff265-53d3-47c9-9fff-95492c897f9a","2019-06-01 14:03:45.72681","mail","","ios",0,,0
"1b7bbec3-712e-4d7d-aabe-1b22c18dd5e7","2019-06-01 12:56:02.876383","google","","android",0,,0
"1c6d6ea5-ec00-4492-8283-08618c1588c0","2019-06-01 18:14:57.086529","mail","","ios",0,,0
"1cf8a373-8611-419e-8b47-554781cea0cc","2019-06-01 17:01:01.451897","google","loss","ios",0,,0
"1d78cd21-c9c7-4b85-a275-687fcfdada66","2019-06-01 16:54:50.877006","facebook","","ios",0,,0
"1e0b5d70-079e-46d0-b5aa-65c95b884c89","2019-06-01 10:29:50.410271","google","","ios",1,,0
"1eee66f2-b804-4cf6-abae-ed44a17b7d54","2019-06-01 07:01:37.350859","mail","loss","android",0,,0
"203aa5bf-15f5-49ab-bf40-179b56de441e","2019-06-01 14:28:40.093225","google","","android",0,,0
"20a7692b-f701-40f5-a081-06a6d0c62690","2019-06-01 07:51:16.963997","mail","loss","android",0,,0
"20cef0aa-121d-4a98-aaab-ec9aa0423c48","2019-06-01 00:21:41.400542","mail","","ios",0,,0
"20e4f0e4-44b6-426b-a64f-1e9eb32dcbab","2019-06-01 16:54:25.693813","google","","android",0,,0
"2162c1ca-4a30-4872-a126-0dd3d3a5bc63","2019-06-01 09:52:56.279288","mail","","ios",0,,0
"218033e8-2bd7-42ae-87bd-f13abfbe3838","2019-06-01 04:23:40.863693","mail","loss","ios",0,,0
"21965b11-a5fa-45d2-85cf-70be9e552801","2019-06-01 03:49:17.788414","mail","","ios",0,,0
"2261b776-5d5a-445e-9e61-7842a6dae560","2019-06-01 10:17:10.507181","mail","","ios",0,,0
"007f2bc5-cab4-4f79-a6a2-9776632f5f1a","2019-06-01 12:53:44.997637","facebook","","ios",0,,0
"00af0142-dec4-4c7a-9bd6-d01910a670ec","2019-06-01 18:16:13.762918","mail","","ios",0,,0
"00b99128-90f0-4cb4-84f0-f4e711fe788e","2019-06-01 02:02:54.963154","mail","","ios",0,,0
"0157500d-3385-48a7-b915-a1ba5149c69c","2019-06-01 20:35:37.729177","facebook","","ios",0,,0
"0170fc3c-32a8-4782-a1dd-06dfaaac2076","2019-06-01 13:50:20.366271","google","","ios",0,,0
"0195332a-0bf5-430e-83c4-01bf9bc0e472","2019-06-01 15:16:51.303621","mail","gain","web",0,0,1
"01a1403d-c8c5-43be-89c3-7fc324c265dc","2019-06-01 12:18:31.113672","google","","ios",1,,1
"026cdc15-3d89-4901-bf35-2c29f3c0c4a3","2019-06-01 17:55:30.092835","mail","","ios",0,24,0
"0323646c-9ce0-44b9-9ff6-c57ff81aad13","2019-06-01 19:19:39.099951","mail","","android",0,,0
"039b63aa-16af-4a7e-a166-b7f52c227e01","2019-06-01 03:18:44.589065","google","","android",0,,0
"03edf6f3-696b-413f-b660-76fb9a2b1c21","2019-06-01 16:54:41.865083","mail","","ios",0,,0
"043f7cae-a522-4c1e-8967-9155bd317245","2019-06-01 08:25:58.808375","mail","","ios",0,,0
"04865c36-731d-48d3-849b-ce1df4fcc68c","2019-06-01 08:16:47.422496","mail","loss","android",0,,0
"04f6d24d-7ac6-4b99-9ed2-4af39f4f3184","2019-06-01 21:44:31.025529","google","","android",0,,0
"05177665-c45b-4872-a6b6-9f6a86bf8a49","2019-06-01 02:57:45.43613","facebook","","android",0,,0
"060c9012-aca6-4192-bf31-186d4614bc10","2019-06-01 16:34:00.914164","mail","","ios",0,,0
"061b6bd5-9ceb-4e28-8763-a8778fed8f11","2019-06-01 15:36:36.986161","google","","ios",0,,0
"06766c2a-c5b8-4014-87f1-6aa9406747b9","2019-06-01 21:26:39.509185","mail","","ios",0,,0
"06c805e2-c0a7-4a11-8c96-6d986dd2ea3e","2019-06-01 07:55:44.029147","mail","loss","android",0,,0
"076b504a-1dc2-4dd7-a744-e945d65c42dd","2019-06-01 02:26:29.697626","google","","android",0,,0
"0790907d-6c2b-4f3a-a3f5-f931153dce32","2019-06-01 09:38:05.013611","mail","","ios",0,,0
"07d49360-85c7-48bd-8862-7e8ecab09f00","2019-06-01 16:47:14.347903","mail","","ios",0,,0
"07ef3890-0703-42f5-8549-0ea2492f0b81","2019-06-01 15:03:24.038243","facebook","","ios",0,0,4
"080baab3-5956-444c-aa52-c004475f048b","2019-06-01 14:43:11.381853","google","","ios",0,,0
